project_name,employee_name,position,salary,budget,project_manager
Проект_29,Сотрудник_1,Менеджер,89076,626671,Сотрудник_1990
Проект_88,Сотрудник_2,Аналитик,58064,281410,Сотрудник_1232
Проект_92,Сотрудник_3,Аналитик,86498,585814,Сотрудник_1280
Проект_27,Сотрудник_4,Разработчик,119464,934999,Сотрудник_1329
Проект_44,Сотрудник_5,Тестировщик,93750,197088,Сотрудник_98
Проект_72,Сотрудник_6,Менеджер,91872,109137,Сотрудник_727
Проект_32,Сотрудник_7,Тестировщик,104635,436121,Сотрудник_1750
Проект_54,Сотрудник_8,Тестировщик,65296,179402,Сотрудник_1709
Проект_41,Сотрудник_9,Разработчик,83450,939334,Сотрудник_1926
Проект_91,Сотрудник_10,Аналитик,90197,552717,Сотрудник_172
Проект_21,Сотрудник_11,Менеджер,102123,931791,Сотрудник_1868
Проект_28,Сотрудник_12,Тестировщик,79379,484525,Сотрудник_1698
Проект_64,Сотрудник_13,Аналитик,87027,983604,Сотрудник_1956
Проект_87,Сотрудник_14,Аналитик,60311,689437,Сотрудник_867
Проект_58,Сотрудник_15,Разработчик,74350,988343,Сотрудник_1875
Проект_99,Сотрудник_16,Менеджер,112065,465399,Сотрудник_1840
Проект_80,Сотрудник_17,Аналитик,65553,297013,Сотрудник_859
Проект_83,Сотрудник_18,Менеджер,86918,701270,Сотрудник_106
Проект_43,Сотрудник_19,Тестировщик,88742,986278,Сотрудник_1908
Проект_89,Сотрудник_20,Разработчик,101448,958441,Сотрудник_1005
Проект_73,Сотрудник_21,Менеджер,105929,678024,Сотрудник_1570
Проект_9,Сотрудник_22,Тестировщик,112348,969563,Сотрудник_1959
Проект_75,Сотрудник_23,Менеджер,70975,584352,Сотрудник_213
Проект_47,Сотрудник_24,Аналитик,115610,548656,Сотрудник_1883
Проект_82,Сотрудник_25,Менеджер,65650,748233,Сотрудник_1862
Проект_33,Сотрудник_26,Аналитик,89044,157767,Сотрудник_587
Проект_48,Сотрудник_27,Менеджер,109341,323540,Сотрудник_1602
Проект_52,Сотрудник_28,Аналитик,115779,987200,Сотрудник_560
Проект_61,Сотрудник_29,Тестировщик,51251,929971,Сотрудник_1743
Проект_56,Сотрудник_30,Разработчик,70914,652383,Сотрудник_203
Проект_40,Сотрудник_31,Аналитик,94729,737713,Сотрудник_177
Проект_46,Сотрудник_32,Тестировщик,56700,113218,Сотрудник_1227
Проект_55,Сотрудник_33,Менеджер,101607,820056,Сотрудник_1643
Проект_50,Сотрудник_34,Разработчик,66337,474629,Сотрудник_616
Проект_96,Сотрудник_35,Менеджер,99472,346560,Сотрудник_670
Проект_61,Сотрудник_36,Разработчик,52537,929971,Сотрудник_1743
Проект_80,Сотрудник_37,Менеджер,79422,297013,Сотрудник_859
Проект_89,Сотрудник_38,Менеджер,53328,958441,Сотрудник_1005
Проект_60,Сотрудник_39,Менеджер,57741,573992,Сотрудник_1225
Проект_89,Сотрудник_40,Менеджер,85646,958441,Сотрудник_1005
Проект_31,Сотрудник_41,Аналитик,103125,558898,Сотрудник_88
Проект_41,Сотрудник_42,Тестировщик,74309,939334,Сотрудник_1926
Проект_27,Сотрудник_43,Аналитик,55875,934999,Сотрудник_1329
Проект_83,Сотрудник_44,Разработчик,103471,701270,Сотрудник_106
Проект_31,Сотрудник_45,Тестировщик,73909,558898,Сотрудник_88
Проект_72,Сотрудник_46,Аналитик,79469,109137,Сотрудник_727
Проект_46,Сотрудник_47,Разработчик,88517,113218,Сотрудник_1227
Проект_99,Сотрудник_48,Менеджер,86815,465399,Сотрудник_1840
Проект_22,Сотрудник_49,Разработчик,77380,946640,Сотрудник_1784
Проект_6,Сотрудник_50,Менеджер,56733,216367,Сотрудник_473
Проект_75,Сотрудник_51,Менеджер,71224,584352,Сотрудник_213
Проект_14,Сотрудник_52,Менеджер,104821,694452,Сотрудник_145
Проект_92,Сотрудник_53,Аналитик,96280,585814,Сотрудник_1280
Проект_16,Сотрудник_54,Разработчик,119108,382253,Сотрудник_1327
Проект_31,Сотрудник_55,Аналитик,90996,558898,Сотрудник_88
Проект_91,Сотрудник_56,Тестировщик,68260,552717,Сотрудник_172
Проект_11,Сотрудник_57,Аналитик,97454,274639,Сотрудник_774
Проект_43,Сотрудник_58,Менеджер,90853,986278,Сотрудник_1908
Проект_54,Сотрудник_59,Аналитик,59177,179402,Сотрудник_1709
Проект_72,Сотрудник_60,Разработчик,69584,109137,Сотрудник_727
Проект_70,Сотрудник_61,Аналитик,116824,189200,Сотрудник_1192
Проект_9,Сотрудник_62,Аналитик,54007,969563,Сотрудник_1959
Проект_1,Сотрудник_63,Разработчик,77269,468446,Сотрудник_320
Проект_12,Сотрудник_64,Разработчик,79540,563731,Сотрудник_637
Проект_28,Сотрудник_65,Разработчик,93801,484525,Сотрудник_1698
Проект_73,Сотрудник_66,Менеджер,88643,678024,Сотрудник_1570
Проект_93,Сотрудник_67,Менеджер,109789,320306,Сотрудник_1772
Проект_38,Сотрудник_68,Тестировщик,92166,761423,Сотрудник_1625
Проект_89,Сотрудник_69,Разработчик,80676,958441,Сотрудник_1005
Проект_26,Сотрудник_70,Аналитик,69921,746774,Сотрудник_1402
Проект_19,Сотрудник_71,Тестировщик,56319,396884,Сотрудник_182
Проект_20,Сотрудник_72,Аналитик,71289,264373,Сотрудник_1566
Проект_4,Сотрудник_73,Аналитик,106211,690245,Сотрудник_822
Проект_99,Сотрудник_74,Менеджер,102793,465399,Сотрудник_1840
Проект_85,Сотрудник_75,Тестировщик,51809,388154,Сотрудник_826
Проект_72,Сотрудник_76,Тестировщик,86529,109137,Сотрудник_727
Проект_94,Сотрудник_77,Менеджер,78524,264355,Сотрудник_1535
Проект_15,Сотрудник_78,Менеджер,94205,427206,Сотрудник_435
Проект_30,Сотрудник_79,Тестировщик,51596,968469,Сотрудник_595
Проект_68,Сотрудник_80,Аналитик,96736,715849,Сотрудник_1178
Проект_74,Сотрудник_81,Менеджер,71042,796598,Сотрудник_719
Проект_7,Сотрудник_82,Аналитик,77213,369831,Сотрудник_1148
Проект_47,Сотрудник_83,Разработчик,79104,548656,Сотрудник_1883
Проект_21,Сотрудник_84,Разработчик,108018,931791,Сотрудник_1868
Проект_49,Сотрудник_85,Менеджер,50353,260437,Сотрудник_1238
Проект_6,Сотрудник_86,Менеджер,77950,216367,Сотрудник_473
Проект_22,Сотрудник_87,Аналитик,110475,946640,Сотрудник_1784
Проект_87,Сотрудник_88,Тестировщик,85412,689437,Сотрудник_867
Проект_27,Сотрудник_89,Тестировщик,73444,934999,Сотрудник_1329
Проект_53,Сотрудник_90,Тестировщик,70199,615729,Сотрудник_447
Проект_55,Сотрудник_91,Менеджер,68646,820056,Сотрудник_1643
Проект_86,Сотрудник_92,Тестировщик,101506,418678,Сотрудник_1417
Проект_87,Сотрудник_93,Разработчик,72863,689437,Сотрудник_867
Проект_13,Сотрудник_94,Тестировщик,105856,672979,Сотрудник_545
Проект_29,Сотрудник_95,Менеджер,114142,626671,Сотрудник_1990
Проект_52,Сотрудник_96,Менеджер,90077,987200,Сотрудник_560
Проект_23,Сотрудник_97,Аналитик,66042,598870,Сотрудник_174
Проект_46,Сотрудник_98,Менеджер,90128,113218,Сотрудник_1227
Проект_43,Сотрудник_99,Тестировщик,100219,986278,Сотрудник_1908
Проект_72,Сотрудник_100,Разработчик,118872,109137,Сотрудник_727
Проект_84,Сотрудник_101,Менеджер,50181,434635,Сотрудник_204
Проект_21,Сотрудник_102,Аналитик,54865,931791,Сотрудник_1868
Проект_95,Сотрудник_103,Тестировщик,111579,171383,Сотрудник_922
Проект_44,Сотрудник_104,Разработчик,87080,197088,Сотрудник_98
Проект_26,Сотрудник_105,Тестировщик,61634,746774,Сотрудник_1402
Проект_19,Сотрудник_106,Менеджер,86740,396884,Сотрудник_182
Проект_56,Сотрудник_107,Аналитик,58708,652383,Сотрудник_203
Проект_92,Сотрудник_108,Аналитик,87840,585814,Сотрудник_1280
Проект_4,Сотрудник_109,Аналитик,55681,690245,Сотрудник_822
Проект_52,Сотрудник_110,Менеджер,86402,987200,Сотрудник_560
Проект_61,Сотрудник_111,Менеджер,106391,929971,Сотрудник_1743
Проект_55,Сотрудник_112,Менеджер,106284,820056,Сотрудник_1643
Проект_49,Сотрудник_113,Тестировщик,63332,260437,Сотрудник_1238
Проект_54,Сотрудник_114,Аналитик,108159,179402,Сотрудник_1709
Проект_65,Сотрудник_115,Разработчик,72970,754662,Сотрудник_750
Проект_7,Сотрудник_116,Разработчик,113398,369831,Сотрудник_1148
Проект_12,Сотрудник_117,Разработчик,51691,563731,Сотрудник_637
Проект_50,Сотрудник_118,Тестировщик,99896,474629,Сотрудник_616
Проект_97,Сотрудник_119,Разработчик,116689,252742,Сотрудник_219
Проект_5,Сотрудник_120,Разработчик,75538,130151,Сотрудник_1073
Проект_8,Сотрудник_121,Тестировщик,54427,282968,Сотрудник_895
Проект_94,Сотрудник_122,Тестировщик,94791,264355,Сотрудник_1535
Проект_56,Сотрудник_123,Тестировщик,118859,652383,Сотрудник_203
Проект_78,Сотрудник_124,Менеджер,93599,724686,Сотрудник_1055
Проект_95,Сотрудник_125,Аналитик,85427,171383,Сотрудник_922
Проект_65,Сотрудник_126,Разработчик,108694,754662,Сотрудник_750
Проект_89,Сотрудник_127,Разработчик,84286,958441,Сотрудник_1005
Проект_77,Сотрудник_128,Разработчик,79328,312092,Сотрудник_36
Проект_2,Сотрудник_129,Аналитик,79147,123416,Сотрудник_1839
Проект_71,Сотрудник_130,Аналитик,81083,139145,Сотрудник_313
Проект_85,Сотрудник_131,Тестировщик,62084,388154,Сотрудник_826
Проект_1,Сотрудник_132,Аналитик,67946,468446,Сотрудник_320
Проект_20,Сотрудник_133,Разработчик,67160,264373,Сотрудник_1566
Проект_51,Сотрудник_134,Разработчик,96766,397245,Сотрудник_1439
Проект_57,Сотрудник_135,Менеджер,51578,709320,Сотрудник_891
Проект_90,Сотрудник_136,Менеджер,117191,330818,Сотрудник_1813
Проект_78,Сотрудник_137,Менеджер,111316,724686,Сотрудник_1055
Проект_83,Сотрудник_138,Аналитик,54846,701270,Сотрудник_106
Проект_16,Сотрудник_139,Аналитик,63375,382253,Сотрудник_1327
Проект_60,Сотрудник_140,Тестировщик,94963,573992,Сотрудник_1225
Проект_37,Сотрудник_141,Тестировщик,111841,290345,Сотрудник_954
Проект_57,Сотрудник_142,Аналитик,77663,709320,Сотрудник_891
Проект_84,Сотрудник_143,Разработчик,55359,434635,Сотрудник_204
Проект_60,Сотрудник_144,Менеджер,91129,573992,Сотрудник_1225
Проект_57,Сотрудник_145,Разработчик,71547,709320,Сотрудник_891
Проект_59,Сотрудник_146,Тестировщик,118896,370986,Сотрудник_975
Проект_97,Сотрудник_147,Аналитик,64599,252742,Сотрудник_219
Проект_99,Сотрудник_148,Менеджер,115409,465399,Сотрудник_1840
Проект_31,Сотрудник_149,Менеджер,62677,558898,Сотрудник_88
Проект_49,Сотрудник_150,Разработчик,106193,260437,Сотрудник_1238
Проект_100,Сотрудник_151,Тестировщик,97871,575981,Сотрудник_1736
Проект_3,Сотрудник_152,Тестировщик,91521,708634,Сотрудник_893
Проект_40,Сотрудник_153,Тестировщик,101122,737713,Сотрудник_177
Проект_16,Сотрудник_154,Менеджер,75120,382253,Сотрудник_1327
Проект_46,Сотрудник_155,Тестировщик,99944,113218,Сотрудник_1227
Проект_55,Сотрудник_156,Тестировщик,103190,820056,Сотрудник_1643
Проект_58,Сотрудник_157,Тестировщик,118188,988343,Сотрудник_1875
Проект_16,Сотрудник_158,Тестировщик,74114,382253,Сотрудник_1327
Проект_69,Сотрудник_159,Аналитик,69024,311255,Сотрудник_1267
Проект_93,Сотрудник_160,Тестировщик,111558,320306,Сотрудник_1772
Проект_60,Сотрудник_161,Разработчик,114006,573992,Сотрудник_1225
Проект_53,Сотрудник_162,Разработчик,63390,615729,Сотрудник_447
Проект_52,Сотрудник_163,Разработчик,57475,987200,Сотрудник_560
Проект_45,Сотрудник_164,Менеджер,61482,210454,Сотрудник_1979
Проект_15,Сотрудник_165,Разработчик,112821,427206,Сотрудник_435
Проект_2,Сотрудник_166,Менеджер,82137,123416,Сотрудник_1839
Проект_64,Сотрудник_167,Разработчик,115651,983604,Сотрудник_1956
Проект_82,Сотрудник_168,Разработчик,97812,748233,Сотрудник_1862
Проект_47,Сотрудник_169,Аналитик,93384,548656,Сотрудник_1883
Проект_65,Сотрудник_170,Тестировщик,63609,754662,Сотрудник_750
Проект_27,Сотрудник_171,Разработчик,69493,934999,Сотрудник_1329
Проект_30,Сотрудник_172,Тестировщик,57892,968469,Сотрудник_595
Проект_59,Сотрудник_173,Аналитик,106679,370986,Сотрудник_975
Проект_29,Сотрудник_174,Аналитик,118760,626671,Сотрудник_1990
Проект_34,Сотрудник_175,Разработчик,70955,507683,Сотрудник_301
Проект_68,Сотрудник_176,Аналитик,113310,715849,Сотрудник_1178
Проект_61,Сотрудник_177,Аналитик,83785,929971,Сотрудник_1743
Проект_1,Сотрудник_178,Менеджер,112127,468446,Сотрудник_320
Проект_78,Сотрудник_179,Аналитик,87147,724686,Сотрудник_1055
Проект_98,Сотрудник_180,Менеджер,94801,171475,Сотрудник_140
Проект_58,Сотрудник_181,Тестировщик,70214,988343,Сотрудник_1875
Проект_24,Сотрудник_182,Аналитик,65631,962628,Сотрудник_243
Проект_26,Сотрудник_183,Аналитик,107424,746774,Сотрудник_1402
Проект_48,Сотрудник_184,Тестировщик,112432,323540,Сотрудник_1602
Проект_41,Сотрудник_185,Менеджер,85583,939334,Сотрудник_1926
Проект_97,Сотрудник_186,Тестировщик,93716,252742,Сотрудник_219
Проект_22,Сотрудник_187,Менеджер,67920,946640,Сотрудник_1784
Проект_51,Сотрудник_188,Разработчик,90462,397245,Сотрудник_1439
Проект_54,Сотрудник_189,Разработчик,108900,179402,Сотрудник_1709
Проект_28,Сотрудник_190,Аналитик,91691,484525,Сотрудник_1698
Проект_68,Сотрудник_191,Аналитик,86166,715849,Сотрудник_1178
Проект_4,Сотрудник_192,Аналитик,101298,690245,Сотрудник_822
Проект_15,Сотрудник_193,Тестировщик,68157,427206,Сотрудник_435
Проект_15,Сотрудник_194,Разработчик,65332,427206,Сотрудник_435
Проект_64,Сотрудник_195,Тестировщик,67410,983604,Сотрудник_1956
Проект_74,Сотрудник_196,Менеджер,52967,796598,Сотрудник_719
Проект_85,Сотрудник_197,Аналитик,57381,388154,Сотрудник_826
Проект_84,Сотрудник_198,Разработчик,112326,434635,Сотрудник_204
Проект_59,Сотрудник_199,Аналитик,54190,370986,Сотрудник_975
Проект_46,Сотрудник_200,Тестировщик,70115,113218,Сотрудник_1227
Проект_14,Сотрудник_201,Аналитик,86628,694452,Сотрудник_145
Проект_99,Сотрудник_202,Тестировщик,102047,465399,Сотрудник_1840
Проект_63,Сотрудник_203,Менеджер,93029,897233,Сотрудник_439
Проект_20,Сотрудник_204,Аналитик,59765,264373,Сотрудник_1566
Проект_63,Сотрудник_205,Разработчик,113892,897233,Сотрудник_439
Проект_93,Сотрудник_206,Разработчик,59716,320306,Сотрудник_1772
Проект_50,Сотрудник_207,Тестировщик,107534,474629,Сотрудник_616
Проект_10,Сотрудник_208,Менеджер,85531,501205,Сотрудник_1908
Проект_36,Сотрудник_209,Менеджер,109396,893845,Сотрудник_92
Проект_8,Сотрудник_210,Аналитик,95106,282968,Сотрудник_895
Проект_1,Сотрудник_211,Менеджер,56611,468446,Сотрудник_320
Проект_95,Сотрудник_212,Менеджер,97185,171383,Сотрудник_922
Проект_5,Сотрудник_213,Тестировщик,51388,130151,Сотрудник_1073
Проект_55,Сотрудник_214,Менеджер,85911,820056,Сотрудник_1643
Проект_81,Сотрудник_215,Менеджер,109167,522430,Сотрудник_501
Проект_55,Сотрудник_216,Разработчик,84125,820056,Сотрудник_1643
Проект_19,Сотрудник_217,Тестировщик,66982,396884,Сотрудник_182
Проект_64,Сотрудник_218,Тестировщик,106803,983604,Сотрудник_1956
Проект_17,Сотрудник_219,Тестировщик,82122,217276,Сотрудник_472
Проект_91,Сотрудник_220,Разработчик,51195,552717,Сотрудник_172
Проект_100,Сотрудник_221,Менеджер,77331,575981,Сотрудник_1736
Проект_41,Сотрудник_222,Менеджер,74050,939334,Сотрудник_1926
Проект_29,Сотрудник_223,Разработчик,106949,626671,Сотрудник_1990
Проект_45,Сотрудник_224,Аналитик,106026,210454,Сотрудник_1979
Проект_99,Сотрудник_225,Аналитик,77670,465399,Сотрудник_1840
Проект_23,Сотрудник_226,Аналитик,50399,598870,Сотрудник_174
Проект_89,Сотрудник_227,Менеджер,54376,958441,Сотрудник_1005
Проект_94,Сотрудник_228,Менеджер,72094,264355,Сотрудник_1535
Проект_83,Сотрудник_229,Разработчик,107874,701270,Сотрудник_106
Проект_16,Сотрудник_230,Менеджер,99703,382253,Сотрудник_1327
Проект_56,Сотрудник_231,Разработчик,111083,652383,Сотрудник_203
Проект_88,Сотрудник_232,Аналитик,105437,281410,Сотрудник_1232
Проект_10,Сотрудник_233,Разработчик,105402,501205,Сотрудник_1908
Проект_23,Сотрудник_234,Аналитик,109876,598870,Сотрудник_174
Проект_34,Сотрудник_235,Тестировщик,71941,507683,Сотрудник_301
Проект_77,Сотрудник_236,Тестировщик,101919,312092,Сотрудник_36
Проект_40,Сотрудник_237,Менеджер,72252,737713,Сотрудник_177
Проект_92,Сотрудник_238,Аналитик,87971,585814,Сотрудник_1280
Проект_97,Сотрудник_239,Аналитик,80874,252742,Сотрудник_219
Проект_31,Сотрудник_240,Менеджер,74758,558898,Сотрудник_88
Проект_51,Сотрудник_241,Тестировщик,109751,397245,Сотрудник_1439
Проект_49,Сотрудник_242,Менеджер,101583,260437,Сотрудник_1238
Проект_62,Сотрудник_243,Аналитик,105644,809822,Сотрудник_1546
Проект_67,Сотрудник_244,Тестировщик,112455,676269,Сотрудник_670
Проект_81,Сотрудник_245,Разработчик,82748,522430,Сотрудник_501
Проект_91,Сотрудник_246,Менеджер,52584,552717,Сотрудник_172
Проект_9,Сотрудник_247,Менеджер,89002,969563,Сотрудник_1959
Проект_88,Сотрудник_248,Аналитик,94167,281410,Сотрудник_1232
Проект_42,Сотрудник_249,Разработчик,107051,658637,Сотрудник_1166
Проект_89,Сотрудник_250,Аналитик,54915,958441,Сотрудник_1005
Проект_25,Сотрудник_251,Аналитик,64238,227148,Сотрудник_645
Проект_87,Сотрудник_252,Менеджер,65180,689437,Сотрудник_867
Проект_54,Сотрудник_253,Тестировщик,79057,179402,Сотрудник_1709
Проект_25,Сотрудник_254,Аналитик,62403,227148,Сотрудник_645
Проект_36,Сотрудник_255,Менеджер,57632,893845,Сотрудник_92
Проект_98,Сотрудник_256,Менеджер,51049,171475,Сотрудник_140
Проект_57,Сотрудник_257,Тестировщик,91072,709320,Сотрудник_891
Проект_43,Сотрудник_258,Аналитик,100428,986278,Сотрудник_1908
Проект_28,Сотрудник_259,Аналитик,117778,484525,Сотрудник_1698
Проект_4,Сотрудник_260,Аналитик,104444,690245,Сотрудник_822
Проект_23,Сотрудник_261,Менеджер,60569,598870,Сотрудник_174
Проект_21,Сотрудник_262,Менеджер,84500,931791,Сотрудник_1868
Проект_51,Сотрудник_263,Аналитик,63539,397245,Сотрудник_1439
Проект_12,Сотрудник_264,Разработчик,119520,563731,Сотрудник_637
Проект_22,Сотрудник_265,Аналитик,92925,946640,Сотрудник_1784
Проект_15,Сотрудник_266,Разработчик,70970,427206,Сотрудник_435
Проект_53,Сотрудник_267,Разработчик,112286,615729,Сотрудник_447
Проект_35,Сотрудник_268,Менеджер,90828,122173,Сотрудник_716
Проект_30,Сотрудник_269,Менеджер,87613,968469,Сотрудник_595
Проект_74,Сотрудник_270,Разработчик,98488,796598,Сотрудник_719
Проект_52,Сотрудник_271,Тестировщик,84603,987200,Сотрудник_560
Проект_56,Сотрудник_272,Разработчик,80023,652383,Сотрудник_203
Проект_60,Сотрудник_273,Тестировщик,107111,573992,Сотрудник_1225
Проект_83,Сотрудник_274,Разработчик,80979,701270,Сотрудник_106
Проект_36,Сотрудник_275,Аналитик,117650,893845,Сотрудник_92
Проект_45,Сотрудник_276,Разработчик,99545,210454,Сотрудник_1979
Проект_35,Сотрудник_277,Менеджер,51591,122173,Сотрудник_716
Проект_67,Сотрудник_278,Аналитик,116895,676269,Сотрудник_670
Проект_73,Сотрудник_279,Менеджер,75227,678024,Сотрудник_1570
Проект_85,Сотрудник_280,Менеджер,67441,388154,Сотрудник_826
Проект_93,Сотрудник_281,Разработчик,81190,320306,Сотрудник_1772
Проект_32,Сотрудник_282,Аналитик,81543,436121,Сотрудник_1750
Проект_34,Сотрудник_283,Аналитик,83070,507683,Сотрудник_301
Проект_25,Сотрудник_284,Аналитик,66594,227148,Сотрудник_645
Проект_10,Сотрудник_285,Менеджер,104243,501205,Сотрудник_1908
Проект_16,Сотрудник_286,Разработчик,107861,382253,Сотрудник_1327
Проект_91,Сотрудник_287,Тестировщик,92535,552717,Сотрудник_172
Проект_60,Сотрудник_288,Аналитик,101676,573992,Сотрудник_1225
Проект_90,Сотрудник_289,Разработчик,103677,330818,Сотрудник_1813
Проект_87,Сотрудник_290,Разработчик,56090,689437,Сотрудник_867
Проект_52,Сотрудник_291,Разработчик,85097,987200,Сотрудник_560
Проект_63,Сотрудник_292,Аналитик,97255,897233,Сотрудник_439
Проект_85,Сотрудник_293,Разработчик,65983,388154,Сотрудник_826
Проект_80,Сотрудник_294,Разработчик,64046,297013,Сотрудник_859
Проект_98,Сотрудник_295,Тестировщик,63202,171475,Сотрудник_140
Проект_99,Сотрудник_296,Менеджер,93721,465399,Сотрудник_1840
Проект_77,Сотрудник_297,Тестировщик,70030,312092,Сотрудник_36
Проект_41,Сотрудник_298,Менеджер,81628,939334,Сотрудник_1926
Проект_65,Сотрудник_299,Разработчик,58825,754662,Сотрудник_750
Проект_10,Сотрудник_300,Аналитик,117448,501205,Сотрудник_1908
Проект_52,Сотрудник_301,Аналитик,54882,987200,Сотрудник_560
Проект_45,Сотрудник_302,Разработчик,83255,210454,Сотрудник_1979
