date,product_id,quantity,sales
2022-01-24,P098,9.0,7580.4
2022-01-28,P046,1.0,2905.11
2022-09-18,P089,1.0,530.19
2022-01-27,P076,6.0,3409.7
2022-11-27,P031,3.0,3932.2
2022-05-23,P026,4.0,916.76
2022-05-27,,5.0,509.79
2022-06-08,P015,4.0,1613.79
2022-08-10,P081,,7046.9
2022-11-05,P040,,1947.6
2022-03-24,P072,7.0,1806.8
2022-11-17,P073,6.0,
2022-09-27,P050,8.0,
2022-02-15,,6.0,2431.45
2022-11-25,,5.0,1188.76
2022-05-23,P045,1.0,451.14
2022-04-05,P082,2.0,294.76
2022-05-28,P014,5.0,2716.38
2022-01-25,P027,8.0,54.77
2022-11-04,P086,7.0,
2022-12-04,P065,6.0,1390.84
2022-03-08,P095,2.0,1810.04
2022-02-24,P042,8.0,269.55
2022-10-02,P068,5.0,2971.9
2022-05-09,P055,10.0,6309.18
2022-01-29,P022,1.0,4172.22
2022-09-29,P050,7.0,2652.66
2022-06-26,P050,3.0,2652.66
2022-04-11,P043,9.0,3810.72
2022-06-01,P088,6.0,2491.72
,P006,4.0,754.27
2022-04-06,P081,7.0,3523.45
2022-05-21,P023,2.0,
2022-04-02,P038,10.0,739.14
2022-05-03,P018,,4536.5
2022-06-06,,9.0,5820.21
2022-05-22,P026,9.0,1145.95
2022-06-06,P001,7.0,
2022-09-08,P033,4.0,4361.9
2022-11-04,P038,9.0,369.57
2022-07-11,P020,7.0,5336.1
2022-10-02,P026,1.0,458.38
2022-10-18,P033,4.0,
2022-03-13,P016,4.0,353.19
2022-12-30,P014,10.0,6338.22
2022-03-07,P031,8.0,786.44
2022-01-30,P089,2.0,3181.14
2022-12-26,P074,7.0,1640.49
2022-07-30,P025,8.0,5986.17
2022-11-23,P029,4.0,
2022-01-15,P033,6.0,4361.9
2022-04-18,P019,8.0,4515.05
2022-08-09,P081,3.0,704.69
2022-04-10,P001,,961.2
2022-10-05,P071,6.0,465.8
2022-01-17,P020,7.0,5929.0
2022-10-15,P087,8.0,735.21
2022-10-19,P058,9.0,4760.01
2022-07-03,P083,5.0,
2022-10-13,P075,8.0,3132.6
2022-02-04,P076,9.0,1948.4
2022-07-22,P088,6.0,
,P039,9.0,205.82
2022-08-16,P028,9.0,4190.76
2022-03-22,P065,,2086.26
2022-05-29,P060,9.0,1769.65
2022-01-02,P093,,2433.48
2022-04-09,P030,6.0,
2022-01-01,P067,2.0,5488.68
2022-01-01,P024,3.0,1244.34
2022-01-09,P044,,5820.21
2022-10-04,P009,,4748.72
2022-08-18,P084,5.0,5848.56
2022-11-13,P005,,7656.16
2022-07-17,P076,,4871.0
2022-06-19,P017,9.0,493.1
2022-05-21,P046,4.0,1936.74
2022-06-01,P014,7.0,1810.92
2022-12-01,P033,7.0,1308.57
2022-04-24,P067,3.0,
2022-12-14,P096,8.0,1602.9
2022-04-07,P014,5.0,9054.6
2022-12-11,P000,6.0,280.72
2022-04-01,P041,9.0,2286.1
2022-04-24,P075,9.0,3132.6
2022-01-11,P002,6.0,8284.2
2022-01-13,P042,1.0,808.65
2022-09-05,P043,8.0,6668.76
2022-12-02,P031,4.0,2359.32
2022-03-16,P078,1.0,2172.9
2022-05-28,P043,5.0,4763.4
2022-09-06,P028,6.0,1396.92
2022-12-02,P027,10.0,
2022-11-03,,2.0,3212.22
2022-02-21,,5.0,809.82
,P091,6.0,3521.76
2022-03-17,P001,6.0,1682.1
2022-02-08,P033,4.0,2180.95
2022-08-02,P074,2.0,2187.32
2022-12-25,P003,10.0,
2022-12-23,P054,5.0,
2022-01-21,P013,5.0,684.4
2022-07-09,P009,,593.59
2022-10-21,P089,5.0,3711.33
2022-02-23,P001,4.0,2162.7
2022-04-25,P067,3.0,914.78
2022-07-31,P049,4.0,4469.2
2022-05-09,P099,5.0,3404.55
2022-10-17,,3.0,39.34
2022-03-04,P088,,622.93
2022-01-31,P051,4.0,6938.26
,P000,1.0,842.16
2022-08-22,P012,9.0,
2022-09-13,P059,9.0,
2022-07-22,P025,10.0,
2022-12-03,P074,5.0,1640.49
2022-08-01,P006,2.0,754.27
2022-01-10,P065,5.0,
2022-03-28,P058,9.0,1057.78
,P031,4.0,1966.1
2022-04-11,P000,6.0,280.72
2022-08-09,P066,9.0,196.7
2022-11-24,P068,8.0,1188.76
2022-11-17,P009,9.0,1780.77
2022-11-09,P079,1.0,3741.6
2022-07-16,P075,6.0,783.15
2022-06-25,P076,3.0,1948.4
2022-01-30,,2.0,5579.04
2022-08-11,,3.0,
2022-04-06,P090,3.0,2593.8
2022-10-18,P010,10.0,7392.51
2022-08-06,,2.0,
2022-04-28,,7.0,
2022-06-04,P014,10.0,5432.76
2022-08-25,,3.0,186.32
2022-05-21,P001,3.0,
,P017,6.0,246.55
2022-04-03,P009,8.0,2374.36
2022-11-12,P015,5.0,1613.79
2022-01-26,P067,7.0,7318.24
2022-09-28,P058,6.0,2644.45
2022-08-11,P038,9.0,2217.42
2022-07-26,P067,2.0,
2022-07-08,P018,4.0,
2022-03-16,P035,2.0,2027.56
2022-11-22,P059,10.0,509.79
2022-12-28,P078,8.0,724.3
2022-04-09,P084,5.0,6823.32
2022-01-05,P062,7.0,3875.55
2022-11-29,P030,6.0,928.53
2022-08-09,P073,6.0,
2022-09-19,P091,9.0,8804.4
2022-04-01,P006,9.0,1508.54
2022-03-06,P059,10.0,509.79
2022-01-07,P053,8.0,928.59
2022-11-01,P077,,3674.12
2022-11-03,P043,6.0,6668.76
2022-02-17,,9.0,2225.64
2022-12-10,P015,10.0,4303.44
2022-05-22,P068,9.0,2971.9
2022-11-22,P059,7.0,1529.37
,P096,7.0,2564.64
,P064,7.0,4078.26
2022-02-24,P077,3.0,1837.06
2022-11-19,P027,8.0,
2022-08-31,P005,,2871.06
2022-11-10,P087,4.0,735.21
2022-06-19,P004,1.0,2572.29
2022-06-30,P009,10.0,593.59
2022-04-19,P025,3.0,5986.17
2022-11-01,P027,4.0,438.16
2022-12-01,P030,5.0,206.34
2022-02-23,P059,,509.79
2022-01-30,P002,1.0,6627.36
2022-04-21,,8.0,2333.64
2022-10-15,P074,7.0,
2022-08-05,P045,8.0,225.57
2022-06-23,P057,10.0,1830.51
2022-07-02,P040,5.0,
2022-02-14,P088,4.0,622.93
2022-12-04,,4.0,6063.3
2022-02-09,P071,,372.64
2022-02-05,P004,2.0,3674.7
2022-08-14,P061,8.0,3177.05
2022-04-15,P091,8.0,
2022-08-29,P073,1.0,32.18
2022-05-13,P059,8.0,4078.32
2022-05-17,P019,9.0,9030.1
2022-04-02,P099,10.0,4085.46
2022-10-07,P031,4.0,1179.66
2022-10-09,P002,7.0,7455.78
2022-04-09,P088,3.0,622.93
2022-04-12,P065,6.0,2781.68
2022-03-31,P075,10.0,7048.35
2022-12-16,P015,3.0,1075.86
2022-05-05,P064,5.0,1359.42
2022-03-01,,1.0,4190.76
2022-03-11,P044,,4526.83
,P091,2.0,5282.64
2022-05-27,P005,5.0,2871.06
2022-04-06,P032,5.0,650.03
2022-05-14,P035,8.0,1013.78
2022-07-06,P015,3.0,4303.44
2022-01-12,P037,8.0,4390.02
2022-08-16,P013,8.0,547.52
2022-03-08,P016,7.0,1059.57
,P065,3.0,695.42
2022-05-31,P039,7.0,617.46
2022-09-21,P088,3.0,622.93
2022-11-02,P022,5.0,3476.85
2022-03-19,P011,2.0,3931.62
2022-10-01,P076,10.0,2435.5
2022-05-20,P082,2.0,294.76
2022-08-25,P043,6.0,9526.8
2022-08-15,P062,2.0,5536.5
2022-01-13,P064,9.0,3398.55
2022-04-02,P045,1.0,
2022-04-03,P069,3.0,3709.4
2022-04-23,P032,3.0,4550.21
2022-01-02,P004,6.0,2939.76
2022-02-24,P013,1.0,205.32
2022-09-14,P050,10.0,589.48
2022-10-05,P040,8.0,
2022-08-30,P025,3.0,665.13
2022-09-19,P078,3.0,2897.2
2022-06-21,P052,6.0,
2022-03-03,P061,4.0,2541.64
2022-01-15,P070,9.0,
2022-09-24,P070,9.0,8327.3
2022-01-17,,9.0,7656.16
2022-03-07,P060,7.0,1769.65
2022-11-22,P036,5.0,4040.75
2022-04-03,P057,3.0,6101.7
2022-07-01,P010,10.0,4106.95
2022-03-10,P057,4.0,4271.19
,P057,,3661.02
2022-03-20,P091,6.0,2641.32
2022-10-19,P051,7.0,9911.8
2022-02-28,,,7580.4
2022-08-29,P006,9.0,6788.43
2022-08-28,P067,,8233.02
2022-08-12,P066,5.0,275.38
2022-10-08,P027,2.0,328.62
2022-08-26,P039,3.0,823.28
2022-05-01,P039,7.0,617.46
2022-11-16,P092,1.0,3877.32
2022-04-06,P025,8.0,3325.65
2022-07-17,P009,10.0,2374.36
,P022,,6953.7
2022-05-08,P074,4.0,3827.81
2022-02-08,P008,2.0,2379.6
2022-05-25,P039,2.0,823.28
2022-03-03,P022,1.0,5562.96
2022-12-19,P038,5.0,1847.85
2022-06-04,P093,2.0,3041.85
2022-08-02,P023,6.0,4282.96
,P083,,559.1
2022-03-19,P043,10.0,7621.44
2022-07-12,P086,2.0,83.04
2022-07-23,P028,,698.46
2022-06-15,P063,4.0,2530.92
2022-04-06,P079,7.0,935.4
2022-07-24,P070,2.0,2498.19
2022-08-10,P081,5.0,4228.14
2022-06-20,P031,8.0,393.22
2022-11-20,P097,8.0,2429.46
2022-05-20,P020,5.0,4150.3
2022-05-28,P039,7.0,823.28
